coverage_penalty_weight,overlap_penalty_weight,scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,planning_time_s,feasible
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,1.2393527080130298,1
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.854429250000976,1
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.132129077272,0.8477566377581529,98.66666666666667,0.09615307101296579,0.8305939169949852,1
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,1.4226702500018291,1
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.167326861087,0.8475245651046723,98.66666666666667,0.0358239719493603,0.7918383750075009,1
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7028090420062654,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.036250083008781075,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.5864487079961691,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3225125000171829,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.4490522500127554,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3438118339981884,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3096535830118228,1
160.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.547473748718,0.6562046647307321,99.16666666666667,0.007684744332857689,0.31502737500704825,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.06541437501437031,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.8394016250094865,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.9050785840081517,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.8669523750140797,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,0.9846200830070302,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.167326861087,0.8475245651046723,98.66666666666667,0.0358239719493603,0.8466662499995437,1
160.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7111214580072556,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.04046554199885577,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.6113852089911234,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3328281660214998,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3440165419888217,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3554261669924017,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.32285554200643674,1
160.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.610800158118,0.6552595673090572,99.16666666666667,0.2061042833699115,0.3476266660145484,1
